암호화요양기호,요양기관명,교통편명,노선번호,하차지점,방향,거리,비고
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQzNjEyMjIjNjEjJDEjJDQjJDgz,성남동산의원,시내버스,57번,수진역,성일중고앞사거리,100m,성일중고앞사거리코너건물
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQzNjEyMjIjNjEjJDEjJDQjJDgz,성남동산의원,시내버스,51번,수진역,성일중고앞사거리,100m,성일중고앞사거리코너건물
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQzNjEyMjIjNjEjJDEjJDQjJDgz,성남동산의원,시내버스,77-1,"성일중고,동광여중고앞",성일중고사거리앞,100m,사거리코너건물
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,아산플러스가정의학과의원,지하철,8호선,장지역1번출구,31번 버스 환승,1정거장,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,아산플러스가정의학과의원,시내버스,31,엠코타운 플로리체앞,바로 앞,10m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,아산플러스가정의학과의원,시내버스,21,엠코타운 플로리체앞,건너편,10m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,아산플러스가정의학과의원,시내버스,15-1,엠코타운 플로리체앞,바로앞,10m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,아산플러스가정의학과의원,시내버스,200,엠코타운 플로리체앞,건너편,10m,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNjEjJDEjJDQjJDgz,길한의원,시내버스,3-1,상대원시장,,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,아산플러스가정의학과의원,시내버스,331,엠코타운 플로리체앞,바로앞,10m,
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,피브로한의원,지하철,분당선 서현역,3번 출구,AK프라자 6번 게이트 출구 바로 옆건물 5층,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,지하철,분당선,미금역 1번출구,정자역 방향,20 m,한국프라자
