암호화요양기호,요양기관명,진료과목코드,진료과목코드명,과목별 전문의수,선택진료 의사수
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQyIyQ3IyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,미래이비인후과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,애플소아청소년과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ5OSQzNjE4MzIjNjEjJDEjJDAjJDgz,닥터홍이비인후과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNDEjJDEjJDQjJDgz,클레오의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQwMyQzNjE4MzIjNjEjJDEjJDgjJDgz,서울수내과의원,1,내과,2,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ2MiQyNjEyMjIjNjEjJDEjJDgjJDgz,고려척척마취통증의학과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjODEjJDEjJDYjJDgz,다솜의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,아이엠정형외과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ5OSQzNjEyMjIjNDEjJDEjJDgjJDgz,엠디그린마취통증의학과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjE0ODEjNjEjJDEjJDgjJDgz,엔씨소프트부속의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjEwMDIjNDEjJDEjJDgjJDgz,메디피움의원,1,내과,8,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE4MzIjNjEjJDEjJDAjJDgz,하나소아청소년과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQzNjEyMjIjNTEjJDEjJDIjJDgz,마음속내과 의원,1,내과,4,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQ0NjE0ODEjODEjJDEjJDYjJDgz,한빛재활의학과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ5OSQzNjE0ODEjNDEjJDEjJDQjJDgz,야탑연세마취통증의학과의원,1,내과,0,0
